KEY;EN;RU;ES;PT;BR
AutosavingText;Autosaving...;Идёт автосохранение...;Autoguardado en progreso...;Salvamento automático em andamento...;Salvamento automático em andamento...
SmallNews.State;State;Государство;Estado;Estado;Estado
SmallNews.Annexed;annexed;присоединило;anexo;anexado;anexado
SmallNews.ProvincesOf;provinces of the state;провинций государства;provincias del estado;províncias do estado;províncias do estado
SmallNews.Claimed;claimed the provinces of the state;заявило претензии на провинции государства;reclamó las provincias del estado;reivindicou as províncias do estado;reivindicou as províncias do estado
SmallNews.UnClaimed;withdrew claims to the provinces of the state;отозвало претензии на провинции государства;retiró los reclamos a las provincias del estado;retirou reivindicações às províncias do estado;retirou reivindicações às províncias do estado
SmallNews.DeclareWar;declared war on the state;объявило войну государству;declaró la guerra al estado;declarou guerra ao estado;declarou guerra ao estado
SmallNews.Peace;made peace with the state;заключило мир с государством;hizo las paces con el estado;fez as pazes com o estado;fez as pazes com o estado
SmallNews.Trade;entered into trade with the state;заключило торговлю с государством;entró en comercio con el estado;entrou em comércio com o estado;entrou em comércio com o estado
SmallNews.Union;entered into an alliance with the state;заключило союз с государством;entró en una alianza con el estado;fez uma aliança com o estado;fez uma aliança com o estado
SmallNews.Pact;signed a non-aggression pact with the state;подписало пакт о ненападении с государством;firmó un pacto de no agresión con el estado;assinou um pacto de não agressão com o estado;assinou um pacto de não agressão com o estado
SmallNews.UnTrade;terminated trade with the state;расторгло торговлю с государством;comercio terminado con el estado;encerrou o comércio com o estado;encerrou o comércio com o estado
SmallNews.UnPact;terminated the non-aggression pact with the state;расторгло пакт о ненападении с государством;puso fin al pacto de no agresión con el estado;rescindiu o pacto de não agressão com o estado;rescindiu o pacto de não agressão com o estado
SmallNews.DeUnion;dissolved the union with the state;расторгло союз с государством;disolvió la unión con el estado;dissolveu a união com o estado;dissolveu a união com o estado
Warn.BatalionLimit;Battalion limit reached;Достигнут лимит батальонов;Se alcanzó el límite de batallón;Limite do batalhão atingido;Limite do batalhão atingido
Warn.ArmyLimit;A division template can only have 10 units;В шаблоне дивизии может быть только 10 юнитов;Una plantilla de división sólo puede tener 10 unidades.;Um modelo de divisão só pode ter 10 unidades;Um modelo de divisão só pode ter 10 unidades
Warn.NoMoney;Not enough money;Недостаточно денег;Dinero insuficiente;Dinheiro insuficiente;Dinheiro insuficiente
Warn.NoFood;Not enough provisions;Недостаточно провизии;No hay suficientes provisiones;Disposições insuficientes;Disposições insuficientes
Warn.NoRecruits;Not enough recruits;Недостаточно рекрутов;No hay suficientes reclutas;Não há recrutas suficientes;Não há recrutas suficientes
Warn.NotEnoughtResources;Insufficient resources;Недостаточно ресурсов;Recursos insuficientes;Recursos insuficientes;Recursos insuficientes
Warn.FleetLimit;Maximum 10 ships;Максимум 10 кораблей;Máximo 10 barcos;Máximo de 10 navios;Máximo de 10 navios
Warn.EnterModName;Enter mod name;Введите имя мода;Introduce el nombre del mod;Digite o nome do mod;Digite o nome do mod
Warn.SaveModAtFirst;First save the mod;Сначала сохраните мод;Primero guarda el mod.;Primeiro salve o mod;Primeiro salve o mod
Warn.technology;Technology successfully researched;Успешно исследована технология;Tecnología investigada con éxito;Tecnologia pesquisada com sucesso;Tecnologia pesquisada com sucesso
Warn.Produced;Production completed successfully;Успешно завершено производство;La producción se completó con éxito;Produção concluída com sucesso;Produção concluída com sucesso
Warn.NoBorder;You do not border this province;Вы не граничите с этой провинцией;No limitas con esta provincia.;Você não faz fronteira com esta província;Você não faz fronteira com esta província
Warn.NoSlots;No free slots;Нет свободных слотов;No hay espacios libres;Sem slots grátis;Sem slots grátis
Warn.NoCoast;The province has no coast;У провинции нет побережья;La provincia no tiene costa.;A província não tem costa;A província não tem costa
Warn.Demil;The province is demilitarized;Провинция демилитаризована;La provincia está desmilitarizada.;A província está desmilitarizada;A província está desmilitarizada
Warn.NoShips;You have no ships in stock;У Вас нет кораблей в запасах;No tienes barcos en stock;Você não tem navios em estoque;Você não tem navios em estoque
Warn.NoMarineBase;The province does not have a naval base;У провинции нет морской базы;La provincia no cuenta con base naval;A província não possui base naval;A província não possui base naval
Warn.NoMovePoints;The division has no movement points. Wait for the next move;У дивизии нет очков передвижения. Дождитесь следующего хода;La división no tiene puntos de movimiento. Espera el próximo movimiento;A divisão não possui pontos de movimento. Espere pelo próximo movimento;A divisão não possui pontos de movimento. Espere pelo próximo movimento
Warn.technologyAlready;You are already researching the technology;Вы уже исследуете технологию;Ya estás investigando la tecnología.;Você já está pesquisando a tecnologia;Você já está pesquisando a tecnologia
Editor.ModEventsTitle;Modification Events;События модификации;Eventos de modificación;Eventos de modificação;Eventos de modificação
Editor.CreateNewEvent;Create an event;Создать событие;Crear un evento;Crie um evento;Crie um evento
Editor.PictureHint;Click here to download picture;Нажмите здесь, чтобы загрузить картинку;Haga clic aquí para descargar la imagen;Clique aqui para baixar a imagem;Clique aqui para baixar a imagem
Editor.CreateEventButtonText;Create an event button;Создать кнопку события;Crear un botón de evento;Crie um botão de evento;Crie um botão de evento
Editor.Receivers;Recipients;Получатели;Destinatarios;Destinatários;Destinatários
Editor.BlackList;Black list of countries;Черный список стран;Lista negra de países;Lista negra de países;Lista negra de países
Editor.Remove;Delete;Удалить;Borrar;Excluir;Excluir
Editor.EnterButtonNamePlaceholder;Enter the name of the button...;Введите название кнопки...;Introduzca el nombre del botón...;Digite o nome do botão...;Digite o nome do botão...
Editor.SaveAndAddEvent;Save and add event;Сохранить и добавить событие;Guardar y agregar evento;Salvar e adicionar evento;Salvar e adicionar evento
Editor.Ideology;Ideology;Идеология;Ideología;Ideologia;Ideologia
Editor.SaveChanges;Save changes;Сохранить изменения;Guardar cambios;Salvar alterações;Salvar alterações
Editor.ModName;Mod name;Название мода;Nombre del mod;Nome do mod;Nome do mod
Editor.EnterModNamePlaceholder;Enter the name of the mod...;Введите название мода...;Introduce el nombre del mod...;Digite o nome do mod...;Digite o nome do mod...
Editor.ModDesc;Description;Описание;Descripción;Descrição;Descrição
Editor.EnterModDescPlaceholder;Enter a description of the mod...;Введите описание мода...;Introduce una descripción del mod...;Insira uma descrição do mod...;Insira uma descrição do mod...
Editor.AllowGameEvents;Allow game events;Разрешить игровые события;Permitir eventos del juego;Permitir eventos de jogo;Permitir eventos de jogo
Editor.GameEvents;Game events;Игровые события;Eventos del juego;Eventos de jogo;Eventos de jogo
Editor.SaveAndCompile;Compile and save;Скомпилировать и сохранить;compilar y guardar;Compilar e salvar;Compilar e salvar
Editor.Publish;Publish;Опубликовать;Publicar;Publicar;Publicar
Editor.PublishError;An error occurred while publishing your modification!;Произошла ошибка при публикации Вашей модификации!;¡Ocurrió un error al publicar tu modificación!;Ocorreu um erro ao publicar sua modificação!;Ocorreu um erro ao publicar sua modificação!
Editor.PublishSuccess;Your modification has been successfully published!;Ваша модификация успешно опубликована!;¡Tu modificación ha sido publicada exitosamente!;Sua modificação foi publicada com sucesso!;Sua modificação foi publicada com sucesso!
Editor.EnterDatePlaceholder;Enter date...;Введите дату...;Introduce la fecha...;Insira a data...;Insira a data...
Прицельные приспособления.desc;Loading...;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Броня II.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Броня.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Армия.desc;Provides access to the creation of divisions;Открывает доступ к созданию дивизий;Proporciona acceso a la creación de divisiones.;Fornece acesso à criação de divisões;Fornece acesso à criação de divisões
Ранняя артиллерия.desc;This technology will open access to a new type of troops - Early Artillery;Эта технология откроет доступ к новому виду войск - Ранняя артиллерия;Esta tecnología abrirá el acceso a un nuevo tipo de tropas: Early Artillery;Esta tecnologia abrirá o acesso a um novo tipo de tropas - Artilharia Antecipada;Esta tecnologia abrirá o acesso a um novo tipo de tropas - Artilharia Antecipada
Улучшенная артиллерия.desc;This technology will open access to a new type of troops - Improved Artillery;Эта технология откроет доступ к новому виду войск - Улучшенная артиллерия;Esta tecnología abrirá el acceso a un nuevo tipo de tropas: la artillería mejorada.;Esta tecnologia abrirá o acesso a um novo tipo de tropa - Artilharia Aprimorada;Esta tecnologia abrirá o acesso a um novo tipo de tropa - Artilharia Aprimorada
Производство автомобилей.desc;Car production technology will open access to the following research;Технология производства автомобилей откроет доступ к следующим исследованиям;La tecnología de producción de automóviles abrirá el acceso a las siguientes investigaciones;A tecnologia de produção de automóveis abrirá acesso às seguintes pesquisas;A tecnologia de produção de automóveis abrirá acesso às seguintes pesquisas
Дульный тормоз.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Двигатель II.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Двигатель.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Бронетехника.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Регулярная армия.desc;This technology will open access to a new type of troops - Regular Infantry;Эта технология откроет доступ к новому виду войск - Регулярная пехота;Esta tecnología abrirá el acceso a un nuevo tipo de tropas: la Infantería Regular;Esta tecnologia abrirá o acesso a um novo tipo de tropa - Infantaria Regular;Esta tecnologia abrirá o acesso a um novo tipo de tropa - Infantaria Regular
Элитная пехота.desc;This technology will open access to a new type of troops - Elite Infantry;Эта технология откроет доступ к новому виду войск - Элитная пехота;Esta tecnología abrirá el acceso a un nuevo tipo de tropas: la infantería de élite.;Esta tecnologia abrirá o acesso a um novo tipo de tropas - Infantaria de Elite;Esta tecnologia abrirá o acesso a um novo tipo de tropas - Infantaria de Elite
Люлька.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Щиток.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Моторизированная пехота.desc;This technology will open access to a new type of troops - Motorized Infantry. Motorized infantry moves twice per turn;Эта технология откроет доступ к новому виду войск - Моторизированная пехота. Мото-пехота ходит дважды за ход;Esta tecnología abrirá el acceso a un nuevo tipo de tropas: la infantería motorizada. La infantería motorizada se mueve dos veces por turno.;Esta tecnologia abrirá o acesso a um novo tipo de tropa - a Infantaria Motorizada. A infantaria motorizada se move duas vezes por turno;Esta tecnologia abrirá o acesso a um novo tipo de tropa - a Infantaria Motorizada. A infantaria motorizada se move duas vezes por turno
Бронированная мотопехота.desc;This technology will open access to a new type of troops - Armored Motorized Infantry. Motorized infantry moves twice per turn;Эта технология откроет доступ к новому виду войск - Бронированная мотопехота. Мото-пехота ходит дважды за ход;Esta tecnología abrirá el acceso a un nuevo tipo de tropas: la infantería motorizada blindada. La infantería motorizada se mueve dos veces por turno.;Esta tecnologia abrirá o acesso a um novo tipo de tropa - Infantaria Motorizada Blindada. A infantaria motorizada se move duas vezes por turno;Esta tecnologia abrirá o acesso a um novo tipo de tropa - Infantaria Motorizada Blindada. A infantaria motorizada se move duas vezes por turno
Накатник.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Нефтеперерабатывающие заводы.desc;Oil refinery technology makes it possible to extract fuel;Технология нефтеперерабатывающих заводов позволяет добывать горючее;La tecnología de refinería de petróleo permite extraer combustible;Tecnologia de refinaria de petróleo permite extrair combustível;Tecnologia de refinaria de petróleo permite extrair combustível
Изготовление резины.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Щитовое прикрытие.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Синтетический каучук.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Сошники.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Станины.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Ствол.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Лёгкий танк.desc;This technology will open access to a new type of troops - the Light Tank. Armored vehicles move twice per turn.;Эта технология откроет доступ к новому виду войск - Лёгкий танк. Бронетехника перемещается дважды за ход.;Esta tecnología abrirá el acceso a un nuevo tipo de tropas: el tanque ligero. Los vehículos blindados se mueven dos veces por turno.;Esta tecnologia abrirá o acesso a um novo tipo de tropa - o Tanque Leve. Os veículos blindados se movem duas vezes por turno.;Esta tecnologia abrirá o acesso a um novo tipo de tropa - o Tanque Leve. Os veículos blindados se movem duas vezes por turno.
Средний танк.desc;This technology will open access to a new type of troops - the Medium Tank. Armored vehicles move twice per turn;Эта технология откроет доступ к новому виду войск - Средний танк. Бронетехника перемещается дважды за ход;Esta tecnología abrirá el acceso a un nuevo tipo de tropas: el tanque medio. Los vehículos blindados se mueven dos veces por turno.;Esta tecnologia abrirá o acesso a um novo tipo de tropa - o Tanque Médio. Veículos blindados se movem duas vezes por turno;Esta tecnologia abrirá o acesso a um novo tipo de tropa - o Tanque Médio. Veículos blindados se movem duas vezes por turno
Производство шин.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Тормоз отката.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Инструкторы армии.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Продвинутые тренировочные полигоны.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Обучение солдат II.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Обучение солдат.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Производство грузовиков.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Современное снаряжение.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Усовершенствованное оружие.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Раннее ПТО.desc;This technology will open access to a new type of troops - Early VET;Эта технология откроет доступ к новому виду войск - Раннее ПТО;Esta tecnología abrirá el acceso a un nuevo tipo de tropas - FP Temprana;Esta tecnologia abrirá o acesso a um novo tipo de tropas - Early VET;Esta tecnologia abrirá o acesso a um novo tipo de tropas - Early VET
Улучшенное ПТО.desc;This technology will open access to a new type of troops - Improved VET;Эта технология откроет доступ к новому виду войск - Улучшенное ПТО;Esta tecnología abrirá el acceso a un nuevo tipo de tropas - FP mejorada;Esta tecnologia abrirá o acesso a um novo tipo de tropas - EFP melhorado;Esta tecnologia abrirá o acesso a um novo tipo de tropas - EFP melhorado
Стандартная переработка нефти.desc;Standard oil refining gives a bonus to fuel production;Стандартная переработка нефти даёт бонус к получению горючего;La refinación estándar de petróleo otorga una bonificación a la producción de combustible;O refino padrão de petróleo dá um bônus à produção de combustível;O refino padrão de petróleo dá um bônus à produção de combustível
Улучшенная переработка нефти.desc;Improved oil refining gives a bonus to fuel production;Улучшенная переработка нефти даёт бонус к получению горючего;La mejora del refinado del petróleo aporta un plus a la producción de combustible;Melhor refino de petróleo dá um bônus à produção de combustível;Melhor refino de petróleo dá um bônus à produção de combustível
Кавалерия.desc;This technology will open access to a new type of troops - Cavalry. Cavalry moves twice per turn;Эта технология откроет доступ к новому виду войск - Кавалерия. Кавалерия ходит дважды за ход;Esta tecnología abrirá el acceso a un nuevo tipo de tropas: la caballería. La caballería mueve dos veces por turno.;Esta tecnologia abrirá o acesso a um novo tipo de tropa - a Cavalaria. Cavalaria se move duas vezes por turno;Esta tecnologia abrirá o acesso a um novo tipo de tropa - a Cavalaria. Cavalaria se move duas vezes por turno
Улучшенная Кавалерия.desc;This technology will open access to a new type of troops - Cavalry. Cavalry moves twice per turn;Эта технология откроет доступ к новому виду войск - Кавалерия. Кавалерия ходит дважды за ход;Esta tecnología abrirá el acceso a un nuevo tipo de tropas: la caballería. La caballería mueve dos veces por turno.;Esta tecnologia abrirá o acesso a um novo tipo de tropa - a Cavalaria. Cavalaria se move duas vezes por turno;Esta tecnologia abrirá o acesso a um novo tipo de tropa - a Cavalaria. Cavalaria se move duas vezes por turno
Броня III.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Двигатель III.desc;Unlocks the following research;Открывает следующие исследования;Desbloquea la siguiente investigación.;Desbloqueia a seguinte pesquisa;Desbloqueia a seguinte pesquisa
Тяжелый танк.desc;This technology will open access to a new type of troops - the Heavy Tank. Armored vehicles move twice per turn;Эта технология откроет доступ к новому виду войск - Тяжелый танк. Бронетехника перемещается дважды за ход;Esta tecnología abrirá el acceso a un nuevo tipo de tropas: el tanque pesado. Los vehículos blindados se mueven dos veces por turno.;Esta tecnologia abrirá o acesso a um novo tipo de tropa - o Tanque Pesado. Veículos blindados se movem duas vezes por turno;Esta tecnologia abrirá o acesso a um novo tipo de tropa - o Tanque Pesado. Veículos blindados se movem duas vezes por turno
SaveText;Save;Сохранение;Guardar;Salvar;Salvar
UpdateCheck.NewUpdateFound;New update available. Update the game via GooglePlay;Доступно новое обновление. Обновите игру через GooglePlay;Nueva actualización disponible. Actualiza el juego a través de GooglePlay;Nova atualização disponível. Atualize o jogo via GooglePlay;Nova atualização disponível. Atualize o jogo via GooglePlay
MainMenu.SelectModeWarn_1;You choosed;Вы выбрали;tu elegiste;Você escolheu;Você escolheu
MainMenu.SelectModeWarn_2;Go to the country selection menu and play.;Перейдите в меню выбора стран и играйте.;Ve al menú de selección de país y juega.;Vá para o menu de seleção de país e jogue.;Vá para o menu de seleção de país e jogue.
BuildingManager.WasAdded_1;It was added;Было добавлено;fue añadido;Foi adicionado;Foi adicionado
BuildingManager.WasAdded_2;buildings for construction!;зданий на стройку!;edificios para la construcción!;edifícios para construção!;edifícios para construção!
BuildingManager.Title;Development management;Управление застройкой;Gestión del desarrollo;Gestão do desenvolvimento;Gestão do desenvolvimento
BuildManager.Build;Build;Построить;Construir;Construir;Construir
BuildManager.TotalBuildingsTitle;Constructed buildings;У Вас построено;Edificios construidos;Edifícios construídos;Edificações construídas
BuildManager.BuildingInQueueTitle;Under construction;Сейчас строятся;Ahora se están construyendo;Agora eles estão sendo construídos;Agora eles estão sendo construídos
Buildings.AirBase;Air base;Авиабаза;Base aérea;Base aérea;Base aérea
Aviation.NoProvinces;No provinces selected;Не выбраны провинции;Provincias no seleccionadas;Nenhuma província selecionada;Nenhuma província selecionada
Warn.NoAirport;There is no airbase in the province;В провинции нет авиабазы;No hay base aérea en la provincia;Não há Base Aérea na província;Não há Base Aérea na província
Aviation.Title;Aviation Manager;Управление авиацией;Gestión de la aviación;Gestão de aviação;Gestão Da Aviação
Aviation.ArmyAttack;Army attack;Удар по армии;Ataque al ejército;Ataque ao exército;Ataque ao exército
Aviation.BuildingAttack;Attack buildings;Удар по зданиям;Golpe a edificios;Impacto em edifícios;Atingindo prédios
Aviation.Attack;Attack;Атаковать;Atacar;Atacar;Ataque
Aviation.AirbaseAttack;Attack airbase;Удар по авиабазам;Ataque a bases aéreas;Ataque às bases aéreas;Greve em bases aéreas
Aviation.Move;Move;Переместить;Trasladar;Deslocar;Move
Aviation.Disband;Disband;Расформировать;Disolver;Dissolver;Disband
Aviation.Actions;Actions;Действия;Ações;Ação;Ações
Aviation.Planes;Aircraft;Самолёты;Avión;Avião;Aeronaves
Aviation.BuyPanelTitle;Aviation purchase panel; Меню покупки самолётов;ES_NO_TRANSLATE;PT_NO_TRANSLATE;PT-BR_NO_TRANSLATE
Editor.ModYear;Game year in modification;Игровой год в моде;Año de juego en modificación;Ano de jogo na modificação;Ano do jogo em modificação
BULKI;Loading...;Съешь ещё этих мягких французских булок, да выпей же чаю;Loading...;Loading...;Loading...
